product_data,output,label,annotations,SKU
"• Hauptfarbe (type valuerange): Transparent/Klar\n• Farbe (type valuerange): Transparent/Klar\n• Serien-Name PORTA (type caption): FRANK\n• Produktart (type valuerange): Hifi Regal","","","","3004584.01"
"• Breite (type measure): 28 cm\n• Gewicht (type measure): 8,60 kg\n• Höhe (type measure): 80 cm\n• Tiefe/Ausladung (type measure): 28 cm\n• Hauptfarbe (type valuerange): Braun\n• Farbe (type valuerange): Braun Schwarz\n• Farbton (type caption): Mango massiv natur sägerau gebeizt/lackiert\n• Anzahl Schubkästen inklusive (type valuerange): 1\n• Eigenschaften Möbel (type valuerange): Griff Ablage Stauraum\n• Stil (type valuerange): Industrial Modern\n• Serien-Name BOSS (type caption): Cortina\n• Klein- und Beimöbel (type valuerange): Blumenständer\n• Produktart (type valuerange): Blumenständer\n• Anzahl Schubkästen inklusive (type valuerange): 1\n• Farbe (type valuerange): Braun Schwarz\n• Material (type valuerange): Holz Metall\n• Holzart (type valuerange): Mango\n• Holzqualität (type valuerange): massiv\n• Oberflächenbeschichtung (type valuerange): gebeizt lackiert\n• Farbe (type valuerange): Braun\n• Material (type valuerange): Holz\n• Holzart (type valuerange): Mango\n• Holzqualität (type valuerange): massiv\n• Oberflächenbeschichtung (type valuerange): gebeizt lackiert","","","","BOSS"
"• Hauptfarbe (type valuerange): Transparent/Klar\n• Farbe (type valuerange): Transparent/Klar\n• Serien-Name PORTA (type caption): FRANK\n• Produktart (type valuerange): Hifi Regal","","","","3004584.01"
"• Breite (type measure): 164 cm\n• Höhe (type measure): 124 cm\n• Länge (type measure): 46 cm\n• Farbe (type valuerange): Weiß\n• Produktart (type valuerange): TV-Schrank","","","","BOSS"
"• Breite (type measure): 234 cm\n• Gewicht (type measure): 51 kg\n• Höhe (type measure): 170 cm\n• Länge (type measure): 130 cm\n• maximale Belastbarkeit (type measure): 330 kg\n• Tiefe/Ausladung (type measure): 130 cm\n• Hauptfarbe (type valuerange): Grau\n• Farbe (type valuerange): Grau Schwarz\n• Anzahl Zierkissen inklusive (type valuerange): 2\n• Anzahl Sitzpolster inklusive (type valuerange): 1\n• Eigenschaften Gartenmöbel (type valuerange): Armlehnen inklusive Dining klappbar Liegefunktion Living Mittellehner Polsterauflage inklusive Rückenlehne verstellbar\n• Material (type valuerange): Metall Textil\n• Stil (type valuerange): Modern Skandi\n• Serien-Name PORTA (type caption): SATURA\n• Produktart (type valuerange): Hollywoodschaukel\n• Textilart (type valuerange): Synthetikfaser\n• Synthetikfaser 1 (type valuerange): Polyester (PES)","","","","BOSS"
"• Breite (type measure): 40 cm\n• Höhe (type measure): 45 cm\n• Länge (type measure): 41 cm\n• Hauptfarbe (type valuerange): Grau\n• Farbe (type valuerange): Grau\n• Eigenschaften Möbel (type valuerange): gepolstert\n• Material (type valuerange): Textil\n• Serien-Name PORTA (type caption): SANDWICH\n• Marke_Referenz PORTA (type articlereference): Kare Design\n• Material (type valuerange): Metall","","","","5907657.00"
"• Breite (type measure): 212 cm\n• Gewicht (type measure): 107 kg\n• Höhe (type measure): 105 cm\n• Liegefläche (type valuerange): 90 x 200 cm\n• Tiefe/Ausladung (type measure): 43 cm\n• Hauptfarbe (type valuerange): Weiß\n• Farbe (type valuerange): Weiß\n• Anzahl Matratzen inklusive (type valuerange): Keine\n• Stil (type valuerange): Klassisch\n• Serien-Name PORTA (type caption): STELLA\n• Serien-Name BOSS (type caption): Stella\n• Betten (type valuerange): Klappbett\n• Produktart (type valuerange): Klappbett\n• Marke_Referenz PORTA (type articlereference): Quartier","","","","4615685.00"
"• Breite (type measure): 132 cm\n• Gewicht (type measure): 19,6 kg\n• Höhe (type measure): 90 cm\n• Tiefe/Ausladung (type measure): 62 cm\n• Hauptgrillfläche (type caption): 55\n• Hauptfarbe (type valuerange): Schwarz\n• Farbe (type valuerange): Schwarz Silberfarbig\n• Setartikel (type valuerange): ja\n• Eigenschaften Fachsortimente (type valuerange): mobil einsetzbar rollbar rostfrei temperaturbeständig\n• Material (type valuerange): Metall\n• Stil (type valuerange): Modern\n• Serien-Name PORTA (type caption): KUGEL\n• Grills und Feuerstellen (type valuerange): Holzkohlegrill\n• Produktart (type valuerange): Holzkohlegrill\n• Marke_Referenz PORTA (type articlereference): Deluxe4Home - Holz4Home","","","","BOSS"
"• Breite (type measure): 18 cm\n• Durchmesser (type measure): 18 cm\n• Höhe (type measure): 38 cm\n• Tiefe/Ausladung (type measure): 18 cm\n• Hauptfarbe (type valuerange): Alu-/Nickelfarbig\n• Farbe (type valuerange): Alu-/Nickelfarbig\n• Anzahl Kerzen inklusive (type valuerange): keine\n• Material (type valuerange): Metall\n• Metallart (type valuerange): Aluminium\n• Muster (type valuerange): uni\n• Form (type valuerange): bauchig rund\n• Stil (type valuerange): Modern\n• Dekoaccessoires (type valuerange): Kerzenständer\n• Produktart (type valuerange): Kerzenständer\n• Marke_Referenz PORTA (type articlereference): Casanova","","","","0152783.00"
"• Volumen/Fassungsvermögen (type measure): 350 ml\n• Hauptfarbe (type valuerange): Grau\n• Farbe (type valuerange): Grau Weiß\n• Farbton (type caption): Stone\n• Anzahl Teile im Set (type measure): 12 Stk.\n• Setartikel (type valuerange): ja\n• Setartikel-Inhalt 1 (type valuerange): Kaffeebecher\n• Setartikel-Inhalt 2 (type valuerange): Müslischale\n• Setartikel-Inhalt 3 (type valuerange): Frühstücksteller\n• Durchmesser Setartikel 3 (type measure): 21,5 cm\n• Eigenschaften Fachsortimente (type valuerange): mikrowellengeeignet\n• Material (type valuerange): Keramik\n• Keramikart (type valuerange): Porzellan\n• Form (type valuerange): rund\n• Service und Geschirrsets (type valuerange): Frühstücksservice\n• Serien-Name PORTA (type caption): COLOR LOOP STONE\n• Produktart (type valuerange): Frühstücksservice","","","","0133757.09"
"• Durchmesser (type measure): 8,5 cm\n• Höhe (type measure): 9 cm\n• Hauptfarbe (type valuerange): Transparent/Klar\n• Farbe (type valuerange): Transparent/Klar\n• Material (type valuerange): Glas\n• Stil (type valuerange): Japandi\n• Serien-Name PORTA (type caption): TAZIO\n• Marke_Referenz PORTA (type articlereference): Leonardo - Glaskoch","","","","0124647.02"
